;EAN;Désignation;Stock;PVC;;
False;2321148000000;$ CERDO RIÑONES;38;2.99;;
False;2321150000000;$ CERDO LENGUA;33;5.99;;
False;2321152000000;$ ? CERDO OREJA;22;5.99;;
False;2321154000000;$ CERDO HIGADO;3;2.99;;
False;2321156000000;$ ? CERDO TOCINO  ;17;3.99;;
False;2321157000000;$ # ? CERDO SOLOMILLO;16;11.89;;
False;2321160000000;$ ? CERDO CINTA LOMO TROZO;379;6.19;;
False;2321166000000;ENTRECOT RIÑONADA TERNERA;82;24.65;;
False;8436028970414;$ # ? CAYSAN LOMO ADOBADO 400 G;29;5.69;;
False;2321341000000;$ ? CONEJO PALETILLA COREN ATM;6;16.89;;
False;2321344000000;$ ? CONEJO PARA PAELLA ATM BIO;11;5.99;;
False;2321346000000;$ # ? FILETE PECHUGA .PAVO BJA.;16;11.99;;
False;2321361000000;$ ? GALLINA SEMI BAND OBLANCA ;12;4.90;;
False;2321363000000;$ ? ALAS DE POLLO BBQ OBLA 2.5K;1;6.29;;
False;8421291020928;$ ? #  CALLO MADRILE OBLAN 0.5;46;5.20;;
False;8423729601020;$ ? HUEVOS CODORNIZ 2 DOCENAS;9;3.28;;
False;2321390000000;LONGASOL SC 5 KILOS 143702;26;11.29;;
False;2321396000000;$ CERDO COSTILLA TIRAS;27;7.99;;
False;2321400000000;ESCAND.VACUNO ENTRECOT;219;19.99;;
False;2321402000000;ESCAND.TERN.DELA SIN HUES;385;12.89;;
False;2321408000000;CULATA DE CONTRA TERNER  AÑOJ0;291;17.29;;
False;2321409000000; ESCAND.CENTRO CHULETERO;1503;5.79;;
False;2321420000000;ESCAN.ENTRECOT TERNERA;45;24.65;;
False;2321524000000;$ ? PINCHO MORUNO CAYSAN;4;9.99;;
False;2321532000000;$ ? JAMONCITO PAVO BANDEJ COREN;20;4.99;;
False;2321546000000;$ ? ALAS PAVO S/PUNT BJA.CORE;9;5.29;;
False;8436028972272;$ # ? JAMON SAJONIA CAYSAN 350;35;4.75;;
False;2321553000000;$ ? CHORIZO CALLO BANDE  LLAMAS;24;8.90;;
False;2321555000000;PAPEL MENPAL BIO 38X54 IMP.;240;3.55;;
False;2321563000000;$ CALLOS ROJO GRANDE CANORTE;26;7.99;;
False;2321565000000;$ RABO DE CERDO ROJO CANORTE;30;8.40;;
False;8436028972296;$ # ? CAISAN FIAMBR LOMO AD 350;26;4.75;;
False;8436028970636;$ # ? CAYSAN CHULETA SAJONIA;62;5.49;;
False;2321617000000;$ ? PECHUGA PAVO PIMENTON POZO;2;12.39;;
False;2321618000000;$ ? CHULETA PAVO AJILLO POZO;6;9.85;;
False;2321619000000;$ # ? COSTILLA ADOBADA PARRILLA;29;7.29;;
False;8410843107682;$ E.P.LOMO ADOBADO HORNO 330GM;1;3.99;;
False;8420333000089;$ FLORIS CHISTORRA 220 GRS;6;2.59;;
False;8410320003803;$ CAMP CHOPPED PORK 330 G ;32;1.99;;
False;8410320003810;$ CAMP MORTADELA SICILIANA 330;104;1.99;;
False;8410320003827;$ ? CAMP MORTADELA C/ACEITU 330;68;1.99;;
False;8410320003841;$# CAMP CHOPPED BEEF 330 GR;84;1.99;;
False;8410320004404;$ CAMP SALCHICHA BRATWURST 260 ;23;2.35;;
False;8410320004374;$ CAMP SALCHICHA BAVIERA 260 ;16;2.35;;
False;8410320002585;$ ? CAMP PECHUG PAVO 340;121;4.25;;
False;8410320002615;$ CAMP JAMON PAVO 380 ;104;4.25;;
False;8410843005810;$ # POZO SOBRASADA TARRINA 250;45;2.29;;
False;8410764003094;$ # ? ARGAL ENSALADA CANGRE 240;31;2.59;;
False;2322144000000;$ IGLES CABECERO LOMO;2;17.99;;
False;8410762005014;$ # ? TARRAD ESPETEC 180 GR;137;2.49;;
False;8410762002280;>>TARRADE PATE JAMON 125 G;3;1.30;;
False;8412582003331;CHICO COMPANGO ASTURI EXTRA 250;10;3.49;;
False;8412582002471;CHICO CHORICITO 250;9;3.49;;
False;8412582003317;$ CHICO MORCILLA ASTURIANA 250;17;2.99;;
False;8412582002235;$ CHICO CHORIZO CRIOLLO 300;10;3.49;;
False;2322250000000;IGLES CHORIZO CULAR IBERICO M/V;1;19.99;;
False;8410762005113;$ # ?TARRAD ESPET PACK 2X180 GR;147;4.89;;
False;8410320274852;# $ ?CAMP SALCHICH  DOB LECH140;150;0.95;;
False;8436012670092;$ MARCOS TXANGURRO 200 GR;9;5.99;;
False;3154230007869;$ ? COCINERA MASA BRISA 230;16;2.49;;
False;3154230007944;$#COCINERA MASA HOJALD RED 230;12;2.25;;
False;2322345000000;IGLES SALCHICH CULAR IBERIC M/V;7;19.99;;
False;8410239040333;$ ? BUITONI OBLEA EMP. 160;138;1.49;;
False;8410239040357;$?  BUITONI  OBLEA EMP. GIG 280;182;1.99;;
False;8413098080373;$# ?NAVID TAQUITO JAMO 2X50 G;139;2.00;;
False;8410261392202;$ VEGAVERDE ROSADO 75 CL.;38;2.49;;
False;8410261393209;$ VEGAVERDE BLANCO 75 CL.;62;2.49;;
